date,rides
2017-12-21,582
2017-12-22,520
2017-12-23,512
2017-12-24,440
2017-12-25,469
2017-12-26,589
2017-12-27,693
2017-12-28,647
2017-12-29,844
2017-12-30,739
2017-12-31,779
2018-01-01,781
2018-01-02,765
2018-01-03,717
2018-01-04,736
2018-01-05,742
2018-01-06,608
2018-01-07,670
2018-01-08,287
2018-01-09,245
2018-01-10,643
2018-01-11,662
2018-01-12,741
2018-01-13,867
2018-01-14,808
2018-01-15,795
2018-01-16,726
2018-01-17,730
2018-01-18,727
2018-01-19,717
2018-01-20,916
2018-01-21,687
2018-01-22,651
2018-01-23,750
2018-01-24,744
2018-01-25,640
2018-01-26,845
2018-01-27,1000
2018-01-28,843
2018-01-29,707
2018-01-30,787
2018-01-31,684
2018-02-01,777
2018-02-02,809
2018-02-03,934
2018-02-04,593
2018-02-05,769
2018-02-06,789
2018-02-07,826
2018-02-08,776
2018-02-09,730
2018-02-10,782
2018-02-11,839
2018-02-12,649
2018-02-13,688
2018-02-14,660
2018-02-15,736
2018-02-16,810
2018-02-17,870
2018-02-18,828
2018-02-19,449
2018-02-20,644
2018-02-21,625
2018-02-22,647
2018-02-23,618
2018-02-24,611
2018-02-25,673
2018-02-26,616
2018-02-27,626
2018-02-28,613
2018-03-01,722
2018-03-02,264
2018-03-03,612
2018-03-04,696
2018-03-05,819
2018-03-06,927
2018-03-07,653
2018-03-08,929
2018-03-09,935
2018-03-10,306
2018-03-11,712
2018-03-12,833
2018-03-13,710
2018-03-14,878
2018-03-15,956
2018-03-16,671
2018-03-17,801
2018-03-18,669
2018-03-19,884
2018-03-20,795
2018-03-21,488
2018-03-22,227
2018-03-23,816
2018-03-24,972
2018-03-25,828
2018-03-26,746
2018-03-27,938
2018-03-28,925
2018-03-29,841
2018-03-30,851
2018-03-31,775
2018-04-01,643
2018-04-02,824
2018-04-03,849
2018-04-04,731
2018-04-05,831
2018-04-06,837
2018-04-07,911
2018-04-08,886
2018-04-09,796
2018-04-10,900
2018-04-11,818
2018-04-12,740
2018-04-13,813
2018-04-14,861
2018-04-15,661
2018-04-16,716
2018-04-17,838
2018-04-18,788
2018-04-19,662
2018-04-20,860
2018-04-21,910
2018-04-22,1278
2018-04-23,837
2018-04-24,871
2018-04-25,857
2018-04-26,891
2018-04-27,889
2018-04-28,878
2018-04-29,778
2018-04-30,709
2018-05-01,712
2018-05-02,813
2018-05-03,913
2018-05-04,1018
2018-05-05,967
2018-05-06,882
2018-05-07,822
2018-05-08,901
2018-05-09,893
2018-05-10,947
2018-05-11,753
2018-05-12,686
2018-05-13,688
2018-05-14,877
2018-05-15,866
2018-05-16,814
2018-05-17,1041
2018-05-18,911
2018-05-19,741
2018-05-20,664
2018-05-21,660
2018-05-22,926
2018-05-23,857
2018-05-24,781
2018-05-25,632
2018-05-26,933
2018-05-27,987
2018-05-28,917
2018-05-29,921
2018-05-30,721
2018-05-31,871
2018-06-01,923
2018-06-02,963
2018-06-03,768
2018-06-04,935
2018-06-05,960
2018-06-06,911
2018-06-07,868
2018-06-08,889
2018-06-09,895
2018-06-10,865
2018-06-11,822
2018-06-12,1014
2018-06-13,935
2018-06-14,875
2018-06-15,890
2018-06-16,709
2018-06-17,643
2018-06-18,845
2018-06-19,882
2018-06-20,897
2018-06-21,922
2018-06-22,964
2018-06-23,920
2018-06-24,782
2018-06-25,834
2018-06-26,975
2018-06-27,862
2018-06-28,877
2018-06-29,894
2018-06-30,860
2018-07-01,723
2018-07-02,769
2018-07-03,934
2018-07-04,1209
2018-07-05,799
2018-07-06,720
2018-07-07,668
2018-07-08,678
2018-07-09,863
2018-07-10,920
2018-07-11,851
2018-07-12,1008
2018-07-13,1035
2018-07-14,1036
2018-07-15,1020
2018-07-16,1002
2018-07-17,1089
2018-07-18,1069
2018-07-19,1124
2018-07-20,1189
2018-07-21,998
2018-07-22,961
2018-07-23,970
2018-07-24,1005
2018-07-25,983
2018-07-26,1103
2018-07-27,1136
2018-07-28,1171
2018-07-29,1050
2018-07-30,1157
2018-07-31,1110
2018-08-01,1180
2018-08-02,1183
2018-08-03,1186
2018-08-04,1192
2018-08-05,1216
2018-08-06,1071
2018-08-07,1082
2018-08-08,1036
2018-08-09,1041
2018-08-10,1044
